"station_id","name","lon","lat","altitude_m","source","sh","tl","oft_lwd","td_lwd","rf","ff","dd","ffx","cglo","gsu_lwd","rr","p","chim","ddx","ffam","pred","rrm","so","tb10","tb20","tb50","tlmax","tlmin","ts","tsmax","tsmin","zeitx","LWD.Region","plot"
"SMAS1","Serfaus Masnerkopf",10.472944,47.012741,2824,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-13 Samnaungruppe","serfaus"
"LBRE2","Breiter Grieskogel Schneestation",11.0273833333333,47.0839527777778,2385,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-14-02 Kühtai - Geigenkamm","breiter_grieskogel"
"NNOW1","Nockwand Wind",11.1746533,47.0368417,3092,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-22 Stubaier Alpen Mitte","nockwand"
"KUET1","Kühtai Hochalter",11.030122,47.231557,2678,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-09 Grieskogelgruppe","laengental"
"GAMA2","Am Adamsberg (Hauptstation)",10.198715,46.988531,2303,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-10 Verwallgruppe Mitte","amadamsberg"
"NGAM2","Gamoarbach",10.554773,46.901942,2581,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-19 Glockturmgruppe","gamoarbach"
"AXLIZ1","Speicherteich Axamer Lizum",11.2880109778398,47.1801049847685,2103,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-14-04 Kalkkögel","axamer_lizum"
"SAGA1","Gampberg Windstation",10.277611,47.109912,2401,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-10 Verwallgruppe Mitte","gampberg"
"MIOG1","Bunköpfl",12.584813,46.983181,2419,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-26-02 Goldried","goldriedkessel"
"GPRE1","Predigberg Windstation",10.207991,46.960398,2340,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-12 Silvretta Ost","predigberg"
"SGIG2","Giggijoch",10.966994,46.972983,2532,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-20 Weißkugelgruppe","giggijoch"
"KADL1","Kals Adlersruhe (Erzherzog-Johann-Hütte)",12.701532,47.069906,3454,"LWD",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-26-01 Glocknergruppe Süd","kals_adlershoehe"
"SVZI2","St Veit Zischke",12.422188,46.937354,2115,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-25 Lasörlinggruppe","stveit_zischke"
"LBRE1","Breiter Grieskogel Windstation",11.0230388888889,47.1010555555556,3282,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-14-03 Sellrain - Alpeiner Berge","breiter_grieskogel"
